Date,Dealer,City,Model Year,Mileage,Trim,Price,Discount
2025-04-11,Westbrook Toyota,Westbrook,2025,4.0,SE,35469,138.72520000000077
2025-04-27,Stephen Auto Mall,Bristol,2018,83764.0,SE,17898,134.1095334317797
2025-04-12,Toyota of Nashua,Nashua,2025,1.0,XSE,39674,127.44499999999972
2025-04-23,Canobie Lake Toyota,Salem,2023,52941.0,SE,25500,126.5333894851574
2025-04-04,McGee Toyota of Epping,Epping,2025,1.0,XSE,39678,123.44499999999972
2025-04-01,Ira Toyota of Danvers,Danvers,2022,24203.0,LE,25467,78.82388895452095
2025-04-02,Mastria Kia,Raynham,2018,118223.0,LE,14911,68.14853343178038
2025-04-11,Toyota of Dartmouth,N. Dartmouth,2025,10.0,SE,35544,63.32560000000376
2025-04-02,Ira Toyota of Manchester,Manchester,2025,5.0,XSE,39748,53.17859999999928
2025-04-23,Koch Rt. 2 Toyota,Lancaster,2016,136017.0,LE,11550,49.67127349587645
2025-04-17,Hartford Toyota Super Store,Hartford,2017,52977.0,LE,17146,36.52047897031298
2025-04-05,Ira Toyota of Orleans,Orleans,2017,58143.0,LE,16825,13.464878970313292
2025-04-03,Parkway Toyota of Boston,West Roxbury,2022,50290.0,LE,23804,4.429688954522135
2025-04-02,McGee Toyota of Epping,Epping,2021,56523.0,SE,22867,-0.050070981385943
